MULakeNumber,waterBody,samplingSite,Date,Time,beginDepth,endDepth_m,parameterType,unit,parameterValue,parameterValueQCCodeDesc
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,MIC_tox,ug/L,0.01,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,MIC_tox,ug/L,0.04,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,CYL_tox,ug/L,0.01,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,CYL_tox,ug/L,0.03,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,CYL_tox,ug/L,0.06,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,ANA_tox,ug/L,0.09,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,ANA_tox,ug/L,0.14,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.5,SAX_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,CHL_A_COR,ug/L,2.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,CHL_A_COR,ug/L,2.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,CHL_A_lab,ug/L,2.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,CHL_A_lab,ug/L,2.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,PHEO,ug/L,0.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,PHEO,ug/L,1.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,CHL_A_COR,ug/L,2.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,CHL_A_lab,ug/L,2.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,PHEO,ug/L,0.9,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,SECCHI,m,1.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,DOC,mg/L,6.099999905,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,DOC,mg/L,6.199999809,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,DOC,mg/L,6.300000191,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,ALK,mg CaCO3/L,108,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,Cl,mg Cl/L,3.960000038,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,Cl,mg Cl/L,3.9800000190000002,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,TN,ug/L,540,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,TN,ug/L,560,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,TN,ug/L,620,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TN,ug/L,580,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TN,ug/L,590,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TN,ug/L,630,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TDN,ug/L,440,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,NH4,ug/L,2,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,NO3,ug/L,4,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,NO3,ug/L,5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,TP,ug/L,27,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,TP,ug/L,29,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TP,ug/L,28,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TP,ug/L,31,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,PIM,mg/L,2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,POM,mg/L,6.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,TSS,mg/L,8.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.5,MIC_tox,ug/L,0.07,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.5,MIC_tox,ug/L,0.1,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.5,CYL_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.5,ANA_tox,ug/L,0.22,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.5,ANA_tox,ug/L,0.26,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.5,SAX_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,CHL_A_COR,ug/L,15.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,CHL_A_COR,ug/L,16.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,CHL_A_lab,ug/L,18.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,CHL_A_lab,ug/L,21.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,PHEO,ug/L,7.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0,PHEO,ug/L,10.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,CHL_A_COR,ug/L,6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,CHL_A_COR,ug/L,8.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,CHL_A_lab,ug/L,6.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,CHL_A_lab,ug/L,8.9,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,PHEO,ug/L,1.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-28,10:48:00,0,0.8,PHEO,ug/L,1.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,SECCHI,m,1.68,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,DOC,mg/L,8.100000381,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,DOC,mg/L,8.199999809,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,ALK,mg CaCO3/L,76,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,Cl,mg Cl/L,4.260000229,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,Cl,mg Cl/L,4.420000076,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,TN,ug/L,570,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,TN,ug/L,610,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,TN,ug/L,620,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TN,ug/L,630,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TN,ug/L,640,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TN,ug/L,660,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TDN,ug/L,530,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TDN,ug/L,550,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TDN,ug/L,560,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,NH4,ug/L,52,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,NO3,ug/L,16,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,TP,ug/L,20,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,TP,ug/L,21,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TP,ug/L,25,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TP,ug/L,27,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TP,ug/L,29,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,PIM,mg/L,1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,PIM,mg/L,1.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,POM,mg/L,2.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,POM,mg/L,3.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TSS,mg/L,3.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,TSS,mg/L,4.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,MIC_tox,ug/L,0.13,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,MIC_tox,ug/L,0.17,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,CYL_tox,ug/L,0.01,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,ANA_tox,ug/L,0.07,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,ANA_tox,ug/L,0.09,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,SAX_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0.5,SAX_tox,ug/L,0.007,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,CHL_A_COR,ug/L,3,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,CHL_A_COR,ug/L,3.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,CHL_A_lab,ug/L,3.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,CHL_A_lab,ug/L,4.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,PHEO,ug/L,1.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,0,PHEO,ug/L,1.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,CHL_A_COR,ug/L,4.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,CHL_A_COR,ug/L,4.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,CHL_A_lab,ug/L,5.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,CHL_A_lab,ug/L,5.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,PHEO,ug/L,2.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-07-20,10:33:00,0,1.3,PHEO,ug/L,2.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,SECCHI,m,1.76,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,DOC,mg/L,7,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,DOC,mg/L,7.099999905,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,ALK,mg CaCO3/L,78,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,Cl,mg Cl/L,4.559999943,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,Cl,mg Cl/L,4.739999771,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,TN,ug/L,510,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,TN,ug/L,520,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TN,ug/L,500,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TN,ug/L,540,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TN,ug/L,550,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TDN,ug/L,380,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TDN,ug/L,420,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,NH4,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,NH4,ug/L,1,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,NO3,ug/L,1,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,TP,ug/L,25,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,TP,ug/L,26,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TP,ug/L,25,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TP,ug/L,26,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TP,ug/L,28,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,PIM,mg/L,0.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,PIM,mg/L,1.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,POM,mg/L,2.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,POM,mg/L,3.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TSS,mg/L,3.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,TSS,mg/L,4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0.5,MIC_tox,ug/L,0.05,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0.5,MIC_tox,ug/L,0.06,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0.5,CYL_tox,ug/L,0.01,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0.5,CYL_tox,ug/L,0.02,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0.5,ANA_tox,ug/L,0.16,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0.5,SAX_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,CHL_A_COR,ug/L,2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,CHL_A_COR,ug/L,3,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,CHL_A_lab,ug/L,4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,CHL_A_lab,ug/L,4.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,PHEO,ug/L,2.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,0,PHEO,ug/L,4.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,CHL_A_COR,ug/L,2.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,CHL_A_COR,ug/L,2.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,CHL_A_lab,ug/L,3.9,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,CHL_A_lab,ug/L,4,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-08-09,10:48:00,0,1.8,PHEO,ug/L,3.8,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,SECCHI,m,2.06,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,DOC,mg/L,5.800000191,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,DOC,mg/L,5.900000095,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,DOC,mg/L,6,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,ALK,mg CaCO3/L,110,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,Cl,mg Cl/L,3.140000105,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,Cl,mg Cl/L,3.319999933,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,TN,ug/L,350,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,TN,ug/L,370,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TN,ug/L,360,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TN,ug/L,370,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TDN,ug/L,250,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TDN,ug/L,260,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TDN,ug/L,300,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,NH4,ug/L,0,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,NH4,ug/L,6,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,NO3,ug/L,2,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,NO3,ug/L,3,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,TP,ug/L,11,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,TP,ug/L,12,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TP,ug/L,11,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TP,ug/L,12,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,PIM,mg/L,0.7,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,POM,mg/L,2,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,POM,mg/L,2.2,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TSS,mg/L,2.7,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,TSS,mg/L,2.9,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,MIC_tox,ug/L,0.02,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,MIC_tox,ug/L,0.07,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,CYL_tox,ug/L,0.02,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,CYL_tox,ug/L,0.03,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,ANA_tox,ug/L,0.33,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,ANA_tox,ug/L,0.34,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,SAX_tox,ug/L,0,Below detection limit
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,CHL_A_COR,ug/L,2.9,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,CHL_A_COR,ug/L,3.3,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,CHL_A_lab,ug/L,3.7,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,CHL_A_lab,ug/L,3.9,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,PHEO,ug/L,1.4,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0,PHEO,ug/L,1.7,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,CHL_A_COR,ug/L,3.5,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,CHL_A_COR,ug/L,3.6,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,CHL_A_lab,ug/L,4.2,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,PHEO,ug/L,1.4,NA
005,Lincoln,Lincoln 1,2021-06-07,12:00:00,0,0.5,PHEO,ug/L,1.5,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0,SECCHI,m,1,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,DOC,mg/L,6.300000191,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,DOC,mg/L,6.400000095,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,DOC,mg/L,6.5,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0,ALK,mg CaCO3/L,98,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,Cl,mg Cl/L,2.0199999809999998,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,Cl,mg Cl/L,2.319999933,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0,TN,ug/L,380,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0,TN,ug/L,450,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TN,ug/L,400,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TN,ug/L,410,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TN,ug/L,440,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TN,ug/L,450,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TN,ug/L,460,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TDN,ug/L,330,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TDN,ug/L,340,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,TDN,ug/L,380,NA
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,NH4,ug/L,0,Below detection limit
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,NH4,ug/L,8,Below detection limit
005,Lincoln,Lincoln 1,2021-06-28,12:28:00,0,0.3,NO3,ug/L,5,NA
