MULakeNumber,waterBody,samplingSite,Date,Time,beginDepth,endDepth_m,parameterType,unit,parameterValue,parameterValueQCCodeDesc
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,SECCHI,m,1.74,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,DOC,mg/L,6.400000095,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,DOC,mg/L,6.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,ALK,mg CaCO3/L,88,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,Cl,mg Cl/L,4.949999809,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,Cl,mg Cl/L,5.059999943,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,TN,ug/L,530,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,TN,ug/L,570,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TN,ug/L,520,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TN,ug/L,530,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TN,ug/L,540,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TDN,ug/L,510,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TDN,ug/L,520,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TDN,ug/L,560,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,NH4,ug/L,19,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,NH4,ug/L,21,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,NO3,ug/L,18,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,NO3,ug/L,19,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,TP,ug/L,12,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0,TP,ug/L,13,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TP,ug/L,14,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TP,ug/L,15,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TP,ug/L,16,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,PIM,mg/L,0.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,PIM,mg/L,0.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,POM,mg/L,1.5,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,POM,mg/L,1.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TSS,mg/L,2,NA
003,Bowling Green (East),Bowling Green (East) 1,2021-06-07,10:19:00,0,0.6,TSS,mg/L,2.5,NA
