parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,
TN,TN978 ,,,978,005,SURF,2024-07-22,3:40:00 PM,0,0,,ug/L,450,,,Lincoln,Lincoln 1,,
TN,TN1357 ,,,1357,005,EPI,2024-08-12,1:48:00 PM,0,2.01,,ug/L,340,,,Lincoln,Lincoln 1,,
TN,TN1358 ,,,1358,005,EPI,2024-08-12,1:48:00 PM,0,2.01,,ug/L,340,,,Lincoln,Lincoln 1,,
TN,TN1359 ,,,1359,005,EPI,2024-08-12,1:48:00 PM,0,2.01,,ug/L,340,,,Lincoln,Lincoln 1,,
TN,TN1354 ,,,1354,005,SURF,2024-08-12,1:48:00 PM,0,0,,ug/L,360,,,Lincoln,Lincoln 1,,
TN,TN1355 ,,,1355,005,SURF,2024-08-12,1:48:00 PM,0,0,,ug/L,350,,,Lincoln,Lincoln 1,,
TN,TN1356 ,,,1356,005,SURF,2024-08-12,1:48:00 PM,0,0,,ug/L,340,,,Lincoln,Lincoln 1,,
TN,TN637 ,,,637,011,EPI,2024-06-21,10:45:00 AM,0,2.25,,ug/L,450,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN638 ,,,638,011,EPI,2024-06-21,10:45:00 AM,0,2.25,,ug/L,510,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN639 ,,,639,011,EPI,2024-06-21,10:45:00 AM,0,2.25,,ug/L,490,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN634 ,,,634,011,SURF,2024-06-21,10:45:00 AM,0,0,,ug/L,460,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN635 ,,,635,011,SURF,2024-06-21,10:45:00 AM,0,0,,ug/L,450,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN636 ,,,636,011,SURF,2024-06-21,10:45:00 AM,0,0,,ug/L,510,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN829 ,,,829,011,EPI,2024-07-11,10:13:00 AM,0,1.75,,ug/L,560,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN830 ,,,830,011,EPI,2024-07-11,10:13:00 AM,0,1.75,,ug/L,560,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN831 ,,,831,011,EPI,2024-07-11,10:13:00 AM,0,1.75,,ug/L,560,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN826 ,,,826,011,SURF,2024-07-11,10:13:00 AM,0,0,,ug/L,510,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN827 ,,,827,011,SURF,2024-07-11,10:13:00 AM,0,0,,ug/L,510,,,Peaceful_Valley,Peaceful Valley 1,,
